D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:23:18,667] Trial 94 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 8935, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 224, 'max_depth': 1.164417691624024}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:23,820] Trial 95 finished with value: 0.6093594081803689 and parameters: {'criterion': 'gini', 'min_samples_split': 5900, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1155, 'max_depth': 1.4469725886175204}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:26,887] Trial 96 finished with value: 0.6075329086246116 and parameters: {'criterion': 'entropy', 'min_samples_split': 1257, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 548, 'max_depth': 1.6488756091841539}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:31,386] Trial 97 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 11588, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1622, 'max_depth': 1.1672481098086265}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:33,901] Trial 98 finished with value: 0.6116631064229319 and parameters: {'criterion': 'entropy', 'min_samples_split': 4932, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 494, 'max_depth': 1.9002436358738264}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:36,033] Trial 99 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 7912, 'min_samples_leaf': 2, 'max_features': 'log2', 'n_estimators': 748, 'max_depth': 2.3049568089518484}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:38,849] Trial 100 finished with value: 0.6324657050857925 and parameters: {'criterion': 'entropy', 'min_samples_split': 2537, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 605, 'max_depth': 1.3940188483378708}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:41,555] Trial 101 finished with value: 0.6118997838648494 and parameters: {'criterion': 'entropy', 'min_samples_split': 2258, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 582, 'max_depth': 1.0050452010914834}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:43,788] Trial 102 finished with value: 0.6325424236122925 and parameters: {'criterion': 'entropy', 'min_samples_split': 110, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 430, 'max_depth': 1.402785349604575}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:45,930] Trial 103 finished with value: 0.633575272374399 and parameters: {'criterion': 'entropy', 'min_samples_split': 187, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 413, 'max_depth': 1.3917720923751817}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:48,200] Trial 104 finished with value: 0.6072980900710159 and parameters: {'criterion': 'entropy', 'min_samples_split': 349, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 405, 'max_depth': 1.4144784025335055}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:50,563] Trial 105 finished with value: 0.6053104973628992 and parameters: {'criterion': 'entropy', 'min_samples_split': 984, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 442, 'max_depth': 1.7085783250259214}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:52,135] Trial 106 finished with value: 0.6006278316540324 and parameters: {'criterion': 'entropy', 'min_samples_split': 67, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 195, 'max_depth': 2.7947901494020386}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:23:54,623] Trial 107 finished with value: 0.6328607346074595 and parameters: {'criterion': 'entropy', 'min_samples_split': 2497, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 504, 'max_depth': 1.9499710903991192}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:24:00,057] Trial 108 finished with value: 0.5576786580716712 and parameters: {'criterion': 'entropy', 'min_samples_split': 2101, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_estimators': 372, 'max_depth': 3.289776618298878}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:24:02,079] Trial 109 finished with value: 0.5985633943930886 and parameters: {'criterion': 'entropy', 'min_samples_split': 3018, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 285, 'max_depth': 2.070836604920125}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:24:06,601] Trial 110 finished with value: 0.6037243300125396 and parameters: {'criterion': 'entropy', 'min_samples_split': 1272, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 514, 'max_depth': 4.123584985695231}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:24:08,820] Trial 111 finished with value: 0.6006268234434173 and parameters: {'criterion': 'entropy', 'min_samples_split': 3553, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 451, 'max_depth': 1.4112783564856628}. Best is trial 64 with value: 0.6351623849222102.
[I 2023-04-16 08:24:11,755] Trial 112 finished with value: 0.6357983767809096 and parameters: {'criterion': 'entropy', 'min_samples_split': 2315, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 614, 'max_depth': 1.202313041266765}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:14,646] Trial 113 finished with value: 0.6256351726875744 and parameters: {'criterion': 'entropy', 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 588, 'max_depth': 1.7626605724585618}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:17,519] Trial 114 finished with value: 0.6084862347744444 and parameters: {'criterion': 'entropy', 'min_samples_split': 2203, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 620, 'max_depth': 1.9266390198022072}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:21,093] Trial 115 finished with value: 0.5972943722943723 and parameters: {'criterion': 'entropy', 'min_samples_split': 951, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 565, 'max_depth': 2.5014345167115106}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:23,440] Trial 116 finished with value: 0.6167433536865851 and parameters: {'criterion': 'entropy', 'min_samples_split': 2700, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 473, 'max_depth': 1.6547448487135283}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:25,464] Trial 117 finished with value: 0.6099143651108717 and parameters: {'criterion': 'entropy', 'min_samples_split': 181, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 408, 'max_depth': 1.265591659445787}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:29,338] Trial 118 finished with value: 0.6058667775698343 and parameters: {'criterion': 'entropy', 'min_samples_split': 1918, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 654, 'max_depth': 2.9688111556566046}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:30,891] Trial 119 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 42758, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 513, 'max_depth': 1.1839171235980792}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:34,536] Trial 120 finished with value: 0.6015016351915915 and parameters: {'criterion': 'entropy', 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 597, 'max_depth': 2.103302830511905}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:36,171] Trial 121 finished with value: 0.6162678878617742 and parameters: {'criterion': 'entropy', 'min_samples_split': 3445, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 289, 'max_depth': 1.404292177814978}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:39,361] Trial 122 finished with value: 0.6057088035690656 and parameters: {'criterion': 'entropy', 'min_samples_split': 1420, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 700, 'max_depth': 1.730334476304308}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:42,152] Trial 123 finished with value: 0.6068186859234894 and parameters: {'criterion': 'entropy', 'min_samples_split': 4331, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 547, 'max_depth': 1.475085320617327}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:42,916] Trial 124 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6632, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 108, 'max_depth': 2.4725696565528112}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:45,822] Trial 125 finished with value: 0.6093601643383303 and parameters: {'criterion': 'entropy', 'min_samples_split': 2566, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 634, 'max_depth': 1.188253884862136}. Best is trial 112 with value: 0.6357983767809096.
[I 2023-04-16 08:24:50,870] Trial 126 finished with value: 0.6393698368589198 and parameters: {'criterion': 'entropy', 'min_samples_split': 1227, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1108, 'max_depth': 1.8148994249345274}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:24:55,224] Trial 127 finished with value: 0.6066616886267542 and parameters: {'criterion': 'entropy', 'min_samples_split': 1253, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 680, 'max_depth': 2.207640419532104}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:24:57,444] Trial 128 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 31690, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'n_estimators': 793, 'max_depth': 1.8672706323529975}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:24:58,823] Trial 129 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 24251, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 419, 'max_depth': 1.1580094870743713}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:01,973] Trial 130 finished with value: 0.609599582852858 and parameters: {'criterion': 'entropy', 'min_samples_split': 911, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 486, 'max_depth': 2.7364452406048767}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:07,290] Trial 131 finished with value: 0.6137268190324959 and parameters: {'criterion': 'entropy', 'min_samples_split': 3548, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1225, 'max_depth': 1.5784795916807184}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:12,261] Trial 132 finished with value: 0.6122974599393813 and parameters: {'criterion': 'entropy', 'min_samples_split': 5216, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1089, 'max_depth': 1.3473196654990856}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:16,700] Trial 133 finished with value: 0.6052310377637888 and parameters: {'criterion': 'entropy', 'min_samples_split': 1978, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 990, 'max_depth': 1.767298861585428}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:20,657] Trial 134 finished with value: 0.6055493802655374 and parameters: {'criterion': 'entropy', 'min_samples_split': 2936, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 900, 'max_depth': 1.4208279886331052}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:23,426] Trial 135 finished with value: 0.6001498768092655 and parameters: {'criterion': 'entropy', 'min_samples_split': 14, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 582, 'max_depth': 1.1441793167051273}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:28,053] Trial 136 finished with value: 0.6304007007063775 and parameters: {'criterion': 'entropy', 'min_samples_split': 4350, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1042, 'max_depth': 1.997919285529451}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:31,251] Trial 137 finished with value: 0.6088034430392508 and parameters: {'criterion': 'entropy', 'min_samples_split': 3922, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 534, 'max_depth': 2.0426101720224734}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:37,290] Trial 138 finished with value: 0.6019777941612002 and parameters: {'criterion': 'entropy', 'min_samples_split': 1710, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 833, 'max_depth': 3.4552179729838963}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:39,149] Trial 139 finished with value: 0.6103132384355092 and parameters: {'criterion': 'entropy', 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 373, 'max_depth': 1.725457034309227}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:43,423] Trial 140 finished with value: 0.60276905045464 and parameters: {'criterion': 'entropy', 'min_samples_split': 1077, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 291, 'max_depth': 8.716651319224408}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:48,435] Trial 141 finished with value: 0.6166636735414028 and parameters: {'criterion': 'entropy', 'min_samples_split': 5772, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1145, 'max_depth': 1.2780764024050082}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:52,994] Trial 142 finished with value: 0.6091221636199803 and parameters: {'criterion': 'log_loss', 'min_samples_split': 4625, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1044, 'max_depth': 1.5170038271697366}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:25:57,698] Trial 143 finished with value: 0.6088839738621398 and parameters: {'criterion': 'entropy', 'min_samples_split': 2596, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1042, 'max_depth': 1.006011541879014}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:04,258] Trial 144 finished with value: 0.6109477809914491 and parameters: {'criterion': 'entropy', 'min_samples_split': 3285, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1104, 'max_depth': 2.298310465333381}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:08,685] Trial 145 finished with value: 0.6101542247175435 and parameters: {'criterion': 'entropy', 'min_samples_split': 1519, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1011, 'max_depth': 1.9259437898756078}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:14,071] Trial 146 finished with value: 0.6342893060360308 and parameters: {'criterion': 'entropy', 'min_samples_split': 6296, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1224, 'max_depth': 1.3256031522932532}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:17,315] Trial 147 finished with value: 0.6049931945783473 and parameters: {'criterion': 'entropy', 'min_samples_split': 4208, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 612, 'max_depth': 1.2376120973609017}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:22,301] Trial 148 finished with value: 0.6083291744645456 and parameters: {'criterion': 'entropy', 'min_samples_split': 2222, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 943, 'max_depth': 1.6781908028558836}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:23,839] Trial 149 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6842, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 505, 'max_depth': 2.657273317936015}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:33,021] Trial 150 finished with value: 0.554420656975242 and parameters: {'criterion': 'entropy', 'min_samples_split': 1057, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'n_estimators': 1182, 'max_depth': 1.3467391999274894}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:38,957] Trial 151 finished with value: 0.6334156285247989 and parameters: {'criterion': 'entropy', 'min_samples_split': 5252, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1124, 'max_depth': 1.1303763559542956}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:44,794] Trial 152 finished with value: 0.6138869984939854 and parameters: {'criterion': 'entropy', 'min_samples_split': 2774, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1198, 'max_depth': 1.2053189987427044}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:49,570] Trial 153 finished with value: 0.6127741545208794 and parameters: {'criterion': 'entropy', 'min_samples_split': 5496, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1132, 'max_depth': 1.1579795430219508}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:26:55,150] Trial 154 finished with value: 0.6174583325456687 and parameters: {'criterion': 'entropy', 'min_samples_split': 753, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1257, 'max_depth': 1.0075004425195118}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:27:38,091] Trial 155 finished with value: 0.6223743044922083 and parameters: {'criterion': 'entropy', 'min_samples_split': 2133, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1026, 'max_depth': 58.89580106314626}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:27:44,818] Trial 156 finished with value: 0.6079318449624126 and parameters: {'criterion': 'entropy', 'min_samples_split': 3811, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1345, 'max_depth': 1.6289742246189025}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:27:47,565] Trial 157 finished with value: 0.6059471508598147 and parameters: {'criterion': 'entropy', 'min_samples_split': 6034, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 441, 'max_depth': 1.4189291617720794}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:27:50,215] Trial 158 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 27363, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 969, 'max_depth': 2.087476327537179}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:04,663] Trial 159 finished with value: 0.6136438937093959 and parameters: {'criterion': 'entropy', 'min_samples_split': 832, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 663, 'max_depth': 16.767535751875254}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:09,449] Trial 160 finished with value: 0.6059458275833822 and parameters: {'criterion': 'entropy', 'min_samples_split': 4650, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1092, 'max_depth': 1.8455646803581287}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:12,124] Trial 161 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7605, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1126, 'max_depth': 1.474165550358829}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:17,227] Trial 162 finished with value: 0.6119008235820463 and parameters: {'criterion': 'entropy', 'min_samples_split': 2967, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1235, 'max_depth': 1.1379467850956282}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:22,312] Trial 163 finished with value: 0.6065017927245002 and parameters: {'criterion': 'log_loss', 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1167, 'max_depth': 1.000784014581375}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:27,185] Trial 164 finished with value: 0.6263508131848743 and parameters: {'criterion': 'entropy', 'min_samples_split': 5038, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1068, 'max_depth': 1.3708304367811546}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:31,793] Trial 165 finished with value: 0.626987781747607 and parameters: {'criterion': 'entropy', 'min_samples_split': 1841, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1063, 'max_depth': 1.31901599014838}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:36,985] Trial 166 finished with value: 0.6092002054229128 and parameters: {'criterion': 'entropy', 'min_samples_split': 3852, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1071, 'max_depth': 1.2693008103696513}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:39,733] Trial 167 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6512, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 977, 'max_depth': 1.397664548098822}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:44,533] Trial 168 finished with value: 0.6149975109800437 and parameters: {'criterion': 'entropy', 'min_samples_split': 1958, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1053, 'max_depth': 1.1386750377700166}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:48,447] Trial 169 finished with value: 0.6173787784268133 and parameters: {'criterion': 'entropy', 'min_samples_split': 4432, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 915, 'max_depth': 1.5968699228974714}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:51,043] Trial 170 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 9310, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1021, 'max_depth': 1.3212119889484462}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:28:56,940] Trial 171 finished with value: 0.6129334833046624 and parameters: {'criterion': 'entropy', 'min_samples_split': 1534, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1450, 'max_depth': 1.8308082346235826}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:00,621] Trial 172 finished with value: 0.6018995318121956 and parameters: {'criterion': 'entropy', 'min_samples_split': 2939, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 568, 'max_depth': 2.2816800858915025}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:03,374] Trial 173 finished with value: 0.6372283660056586 and parameters: {'criterion': 'entropy', 'min_samples_split': 998, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 628, 'max_depth': 1.6615749441150411}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:06,304] Trial 174 finished with value: 0.6266678324101904 and parameters: {'criterion': 'entropy', 'min_samples_split': 2041, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 707, 'max_depth': 1.5301562192391227}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:09,362] Trial 175 finished with value: 0.6249216116246684 and parameters: {'criterion': 'entropy', 'min_samples_split': 1801, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 724, 'max_depth': 1.5341761152435296}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:12,326] Trial 176 finished with value: 0.613884635500356 and parameters: {'criterion': 'entropy', 'min_samples_split': 680, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 702, 'max_depth': 1.0100834751267191}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:16,495] Trial 177 finished with value: 0.5984062395634447 and parameters: {'criterion': 'entropy', 'min_samples_split': 2885, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 762, 'max_depth': 2.029998830507275}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:22,278] Trial 178 finished with value: 0.5653804419743285 and parameters: {'criterion': 'entropy', 'min_samples_split': 1539, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_estimators': 620, 'max_depth': 2.4950923098221445}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:32,393] Trial 179 finished with value: 0.5992779951731916 and parameters: {'criterion': 'entropy', 'min_samples_split': 3540, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1560, 'max_depth': 3.1212038057382774}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:35,332] Trial 180 finished with value: 0.6293673478389635 and parameters: {'criterion': 'entropy', 'min_samples_split': 2231, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 698, 'max_depth': 1.1688406960277438}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:38,109] Trial 181 finished with value: 0.6137274176575487 and parameters: {'criterion': 'entropy', 'min_samples_split': 2313, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 652, 'max_depth': 1.1726813333814687}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:41,411] Trial 182 finished with value: 0.6159503645311506 and parameters: {'criterion': 'entropy', 'min_samples_split': 980, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 801, 'max_depth': 1.608594111281213}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:44,315] Trial 183 finished with value: 0.6293669697599829 and parameters: {'criterion': 'entropy', 'min_samples_split': 2174, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 690, 'max_depth': 1.149864536458178}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:47,915] Trial 184 finished with value: 0.6054698576532639 and parameters: {'criterion': 'entropy', 'min_samples_split': 3468, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 876, 'max_depth': 1.2578900059886193}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:49,699] Trial 185 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 35231, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 683, 'max_depth': 29.57292282020435}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:29:52,021] Trial 186 finished with value: 0.6133281662539305 and parameters: {'criterion': 'entropy', 'min_samples_split': 987, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 525, 'max_depth': 1.1244787592901015}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:07,521] Trial 187 finished with value: 0.6217396359099416 and parameters: {'criterion': 'entropy', 'min_samples_split': 2530, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 457, 'max_depth': 158.63489210143973}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:09,511] Trial 188 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 18049, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 754, 'max_depth': 1.001006534698091}. Best is trial 126 with value: 0.6393698368589198.
